module,trial,item_num,timestamp,x,y
identification,0,0,0,1036.8000000000002,110.16
identification,0,0,4,1032.96,101.52
identification,0,0,38,1009.92,105.84
identification,0,0,71,1011.84,116.64
identification,0,0,120,1000.32,130.68
identification,0,0,154,983.04,184.68
identification,0,0,187,952.32,277.56
identification,0,0,221,950.4,333.72
identification,0,0,254,946.56,349.92
identification,0,0,288,942.72,355.32
identification,0,0,339,940.8,355.32
identification,0,0,372,933.12,361.8
identification,0,0,405,931.2,400.68
identification,0,0,440,929.28,436.3200000000001
identification,0,0,488,933.12,447.12
identification,0,0,522,933.12,463.32
identification,0,0,554,927.36,480.6
identification,0,0,588,921.6,489.24
identification,0,0,621,913.92,523.8
identification,0,0,655,912.0,528.12
identification,0,0,705,913.92,529.2
identification,0,0,739,912.0,533.52
identification,0,0,772,915.84,547.5600000000001
identification,0,0,806,923.52,554.04
identification,0,0,839,925.44,556.2
identification,0,0,888,929.28,560.52
identification,0,0,921,935.04,563.76
identification,0,0,955,948.48,570.24
identification,0,0,988,956.16,573.48
identification,0,0,1022,963.84,576.72
identification,0,0,1056,975.36,579.96
identification,0,0,1107,981.12,584.2800000000001
identification,0,0,1139,986.88,586.44
identification,0,0,1172,994.56,589.6800000000001
identification,0,0,1206,998.4,589.6800000000001
identification,0,0,1240,1000.32,594.0
identification,0,0,1290,998.4,596.1600000000001
identification,0,0,1321,998.4,598.32
identification,0,0,1355,996.48,600.48
identification,0,0,1389,996.48,603.72
identification,0,0,1422,996.48,606.96
identification,0,0,1473,996.48,610.1999999999999
identification,0,0,1506,992.64,614.52
identification,0,0,1539,988.8,618.8399999999999
identification,0,0,1573,984.96,621.0
identification,0,0,1606,981.12,623.16
identification,0,0,1639,977.28,625.3199999999999
identification,0,0,1688,973.44,627.4799999999999
identification,0,0,1722,969.6,630.7199999999999
identification,0,0,1756,967.68,637.1999999999999
identification,0,0,1789,967.68,645.8399999999999
identification,0,0,1822,969.6,645.8399999999999
identification,0,0,1873,973.44,648.0
identification,0,0,1906,977.28,649.0799999999999
identification,0,0,1940,979.2,648.0
identification,0,0,1973,983.04,646.92
identification,0,0,2007,988.8,649.0799999999999
identification,0,0,2056,994.56,662.04
identification,0,0,2089,984.96,664.2
identification,0,0,2123,979.2,667.4399999999999
identification,0,0,2156,971.52,668.52
identification,0,0,2190,967.68,671.76
identification,0,0,2223,963.84,672.84
identification,0,0,2273,961.92,676.08
identification,0,0,2307,960.0,676.08
identification,0,0,2341,969.6,675.0
identification,0,0,2374,988.8,672.84
identification,0,0,2407,1000.32,672.84
identification,0,0,2456,1009.92,672.84
identification,0,0,2490,1021.44,671.76
identification,0,0,2523,1025.28,667.4399999999999
identification,0,0,2558,1029.12,670.68
identification,0,0,2590,1029.12,675.0
identification,0,0,2640,1031.04,677.16
identification,0,0,2674,1032.96,681.48
identification,0,0,2708,1034.88,685.8
identification,0,0,2741,1036.8000000000002,689.04
identification,0,0,2774,1040.64,690.12
identification,0,0,2807,1042.5600000000002,692.28
identification,0,0,2857,1044.48,694.44
identification,0,0,2890,1044.48,697.6800000000001
identification,0,0,2924,1040.64,699.84
identification,0,0,2957,1036.8000000000002,703.08
identification,0,0,2991,1032.96,705.24
identification,0,0,3042,1029.12,707.4
identification,0,0,3075,1025.28,710.64
identification,0,0,3108,1023.36,711.72
identification,0,0,3141,1019.52,711.72
identification,0,0,3174,1013.76,711.72
identification,0,0,3208,1013.76,712.8000000000001
identification,0,0,3257,1009.92,707.4
identification,0,0,3290,1006.08,699.84
identification,0,0,3324,1008.0,695.52
identification,0,0,3357,1011.84,689.04
identification,0,0,3391,1009.92,683.64
identification,0,0,3443,1006.08,678.24
identification,0,0,3508,1002.24,678.24
identification,0,0,3541,994.56,676.08
identification,0,0,3575,990.72,671.76
identification,0,0,3624,979.2,668.52
identification,0,0,3658,971.52,663.12
identification,0,0,3691,958.08,655.56
identification,0,0,3724,946.56,651.24
identification,0,0,3758,940.8,646.92
identification,0,0,3810,933.12,641.52
identification,0,0,3875,925.44,633.9599999999999
identification,0,0,3908,931.2,629.64
identification,0,0,3942,938.88,626.4
identification,0,0,3975,940.8,623.16
identification,0,0,4024,948.48,619.92
identification,0,0,4058,950.4,614.52
identification,0,0,4091,950.4,610.1999999999999
identification,0,0,4125,950.4,604.8000000000001
identification,0,0,4158,952.32,600.48
identification,0,0,4209,954.24,595.08
identification,0,0,4242,958.08,589.6800000000001
identification,0,0,4275,960.0,586.44
identification,0,0,4309,960.0,586.44
identification,0,0,4342,960.0,584.2800000000001
identification,0,0,4391,956.16,584.2800000000001
identification,0,0,4425,958.08,581.0400000000001
identification,0,0,4458,956.16,583.2
identification,0,0,4492,952.32,582.12
identification,0,0,4525,950.4,582.12
identification,0,0,4558,944.64,583.2
identification,0,0,4609,940.8,582.12
identification,0,0,4642,935.04,583.2
identification,1,1,0,958.08,589.6800000000001
identification,1,1,8,963.84,589.6800000000001
identification,1,1,41,967.68,589.6800000000001
identification,1,1,74,973.44,589.6800000000001
identification,1,1,108,977.28,588.6
identification,1,1,141,983.04,587.5200000000001
identification,1,1,174,986.88,587.5200000000001
identification,1,1,225,990.72,587.5200000000001
identification,1,1,257,996.48,586.44
identification,1,1,291,994.56,586.44
identification,1,1,325,948.48,595.08
identification,1,1,375,933.12,599.4000000000001
identification,1,1,408,923.52,600.48
identification,1,1,442,837.12,615.5999999999999
identification,1,1,475,766.08,624.24
identification,1,1,508,743.04,627.4799999999999
identification,1,1,542,725.76,628.56
identification,1,1,591,702.72,630.7199999999999
identification,1,1,625,695.04,633.9599999999999
identification,1,1,658,685.4399999999999,635.04
identification,1,1,691,645.12,639.36
identification,1,1,724,641.2800000000001,641.52
identification,1,1,777,639.36,645.8399999999999
identification,1,1,810,631.6800000000001,646.92
identification,1,1,842,627.84,649.0799999999999
identification,1,1,875,625.9200000000001,652.3199999999999
identification,1,1,908,625.9200000000001,654.48
identification,1,1,942,624.0,656.64
identification,1,1,991,622.08,658.8
identification,1,1,1025,620.16,662.04
identification,1,1,1058,618.24,663.12
identification,1,1,1091,610.5600000000001,666.36
identification,1,1,1142,608.64,668.52
identification,1,1,1175,602.88,672.84
identification,1,1,1209,599.04,677.16
identification,1,1,1242,595.2,681.48
identification,1,1,1275,591.36,683.64
identification,1,1,1309,583.68,686.88
