,pid,module,trial,item,total_fixation,eye_fixation,mouth_fixation,abs_dwell_time_eyes,abs_dwell_time_mouth,first_time_eye
0,00000001,identification,0,1_20_male_happy,1,0,0,0.0,0.0,
1,00000001,identification,1,1_20_male_sad,0,0,0,36.81300813008131,0.0,3610.0
2,00000001,identification,2,1_20_male_fearful,1,0,0,0.0,72.890625,
3,00000001,identification,3,1_20_male_angry,1,0,0,0.0,0.0,
4,00000001,identification,4,1_20_male_surprised,0,0,0,0.0,0.0,
5,00000001,identification,5,4_20_female_angry,0,0,0,33.65942028985507,0.0,441.0
6,00000001,identification,6,4_20_female_surprised,0,0,0,0.0,34.1985294117647,
7,00000001,identification,7,4_20_female_disgusted,0,0,0,71.05343511450381,35.52671755725191,284.0
8,00000001,identification,8,4_20_female_neutral,1,0,0,0.0,0.0,
9,00000001,identification,9,7_30_male_happy,1,0,0,36.421875,36.421875,2026.0
10,00000001,identification,10,7_30_male_surprised,3,0,0,35.830769230769235,0.0,470.0
11,00000001,identification,11,7_30_male_disgusted,0,0,0,36.81300813008131,0.0,1958.0
12,00000001,identification,12,7_30_male_neutral,0,0,0,36.4453125,0.0,4399.0
13,00000001,identification,13,10_30_female_happy,0,0,0,36.1937984496124,36.1937984496124,3603.0
14,00000001,identification,14,10_30_female_sad,0,0,0,35.6793893129771,35.6793893129771,2506.0
15,00000001,identification,15,10_30_female_fearful,0,0,0,100.97826086956522,100.97826086956522,1242.0
16,00000001,identification,16,10_30_female_angry,1,0,0,34.1985294117647,68.3970588235294,3882.0
17,00000001,identification,17,10_30_female_disgusted,1,0,0,35.52671755725191,0.0,284.0
18,00000001,identification,18,14_40_male_happy,0,0,0,0.0,0.0,
19,00000001,identification,19,14_40_male_sad,0,0,0,109.265625,109.265625,58.0
20,00000001,identification,20,14_40_male_fearful,0,0,0,0.0,35.830769230769235,
21,00000001,identification,21,14_40_male_angry,0,0,0,0.0,73.62601626016261,
22,00000001,identification,22,14_40_male_neutral,1,0,0,72.890625,0.0,361.0
23,00000001,identification,23,18_40_female_sad,0,0,0,0.0,36.1937984496124,
24,00000001,identification,24,18_40_female_surprised,1,0,0,107.0381679389313,0.0,403.0
25,00000001,identification,25,18_40_female_disgusted,0,0,0,0.0,0.0,
26,00000001,identification,26,18_40_female_neutral,0,0,0,68.3970588235294,0.0,612.0
27,00000001,identification,27,21_50_male_fearful,0,0,0,71.05343511450381,0.0,16.0
28,00000001,identification,28,21_50_male_surprised,0,0,0,36.390625,36.390625,1188.0
29,00000001,identification,29,21_50_male_disgusted,0,0,0,0.0,36.421875,
30,00000001,identification,30,21_50_male_neutral,0,0,0,35.830769230769235,71.66153846153847,1088.0
31,00000001,identification,31,24_50_female_happy,0,0,0,0.0,0.0,
32,00000001,identification,32,24_50_female_sad,0,0,0,36.4453125,0.0,2764.0
33,00000001,identification,33,24_50_female_fearful,0,0,0,0.0,0.0,
34,00000001,identification,34,24_50_female_angry,0,0,0,0.0,35.6793893129771,
