,pid,module,trial,item,total_fixation,eye_fixation,mouth_fixation,abs_dwell_time_eyes,abs_dwell_time_mouth,first_time_eye
0,00000002,identification,0,7_30_male_surprised,0,0,0,35.830769230769235,71.66153846153847,1605
1,00000002,identification,1,7_30_male_neutral,0,0,0,36.81300813008131,73.62601626016261,0
2,00000002,identification,2,7_30_male_happy,0,0,0,72.890625,0.0,1798
3,00000002,identification,3,7_30_male_disgusted,1,1,0,72.3875968992248,72.3875968992248,1066
4,00000002,identification,4,4_20_female_surprised,2,0,0,35.6793893129771,35.6793893129771,1705
5,00000002,identification,5,4_20_female_neutral,1,0,0,33.65942028985507,33.65942028985507,1844
6,00000002,identification,6,4_20_female_disgusted,0,0,0,68.3970588235294,34.1985294117647,178
7,00000002,identification,7,4_20_female_angry,2,0,1,71.05343511450381,71.05343511450381,1302
8,00000002,identification,8,24_50_female_sad,0,0,0,36.390625,0.0,2857
9,00000002,identification,9,24_50_female_happy,0,0,0,0.0,72.84375,
10,00000002,identification,10,24_50_female_fearful,0,0,0,71.66153846153847,0.0,754
11,00000002,identification,11,24_50_female_angry,1,0,0,73.62601626016261,36.81300813008131,325
12,00000002,identification,12,21_50_male_surprised,0,0,0,36.4453125,72.890625,945
13,00000002,identification,13,21_50_male_neutral,1,0,0,72.3875968992248,36.1937984496124,3869
14,00000002,identification,14,21_50_male_fearful,1,0,0,35.6793893129771,71.3587786259542,4174
15,00000002,identification,15,21_50_male_disgusted,1,0,0,67.31884057971014,33.65942028985507,3311
16,00000002,identification,16,18_40_female_surprised,0,0,0,0.0,0.0,
17,00000002,identification,17,18_40_female_sad,0,0,0,35.52671755725191,35.52671755725191,1217
18,00000002,identification,18,18_40_female_neutral,1,0,0,72.78125,0.0,1154
19,00000002,identification,19,18_40_female_disgusted,0,0,0,72.84375,36.421875,3494
20,00000002,identification,20,14_40_male_sad,0,0,0,143.32307692307694,35.830769230769235,353
21,00000002,identification,21,14_40_male_neutral,0,0,0,0.0,73.62601626016261,
22,00000002,identification,22,14_40_male_happy,1,0,0,36.4453125,72.890625,528
23,00000002,identification,23,14_40_male_fearful,0,0,0,144.7751937984496,72.3875968992248,1300
24,00000002,identification,24,14_40_male_angry,0,0,0,35.6793893129771,0.0,204
25,00000002,identification,25,10_30_female_sad,0,0,0,33.65942028985507,0.0,2510
26,00000002,identification,26,10_30_female_happy,1,0,0,34.1985294117647,34.1985294117647,3715
27,00000002,identification,27,10_30_female_fearful,2,0,0,71.05343511450381,71.05343511450381,133
28,00000002,identification,28,10_30_female_disgusted,0,0,0,0.0,36.390625,
29,00000002,identification,29,10_30_female_angry,0,0,0,0.0,0.0,
30,00000002,identification,30,1_20_male_surprised,0,0,0,143.32307692307694,35.830769230769235,1021
31,00000002,identification,31,1_20_male_sad,0,0,0,36.81300813008131,36.81300813008131,3293
32,00000002,identification,32,1_20_male_happy,0,0,0,72.890625,72.890625,2597
33,00000002,identification,33,1_20_male_fearful,1,0,0,36.1937984496124,0.0,3702
34,00000002,identification,34,1_20_male_angry,0,0,0,142.7175572519084,35.6793893129771,403
