trial,item
0,7_30_male_surprised
1,7_30_male_neutral
2,7_30_male_happy
3,7_30_male_disgusted
4,4_20_female_surprised
5,4_20_female_neutral
6,4_20_female_disgusted
7,4_20_female_angry
8,24_50_female_sad
9,24_50_female_happy
10,24_50_female_fearful
11,24_50_female_angry
12,21_50_male_surprised
13,21_50_male_neutral
14,21_50_male_fearful
15,21_50_male_disgusted
16,18_40_female_surprised
17,18_40_female_sad
18,18_40_female_neutral
19,18_40_female_disgusted
20,14_40_male_sad
21,14_40_male_neutral
22,14_40_male_happy
23,14_40_male_fearful
24,14_40_male_angry
25,10_30_female_sad
26,10_30_female_happy
27,10_30_female_fearful
28,10_30_female_disgusted
29,10_30_female_angry
30,1_20_male_surprised
31,1_20_male_sad
32,1_20_male_happy
33,1_20_male_fearful
34,1_20_male_angry
