,neutral,happy,sad,fearful,angry,disgusted,surprised
fixation,16,136,66,28,131,4,18
fixation_under1000,0,32,5,2,21,0,4
dwelltime,7786.969179255616,47436.36604511588,23200.47533662547,9439.692556575133,48963.99007111315,1681.7666850578066,6956.140104582933
