,neutral,happy,sad,fearful,angry,disgusted,surprised
fixation,3,2,4,1,3,0,1
fixation_under1000,1,2,1,0,1,0,0
dwelltime,12310.106818104874,10151.50243008391,11653.028253310396,2397.886417829064,13927.788348957321,3001.648184645119,1601.5602470650128
