,neutral,happy,sad,fearful,angry,disgusted,surprised
fixation,0,1,0,1,2,0,0
fixation_under1000,0,0,0,0,0,0,0
dwelltime,5686.935692233122,4951.0617270770545,7342.091504893186,1435.7004795978794,7117.2382424071575,1188.532964369252,1004.3828605574888
