,participant_num,sti_num,abs_dwell_time_face11,abs_dwell_time_face12,abs_dwell_time_face21,abs_dwell_time_face22
0,0,0,1159.0,729.7407407407408,643.8888888888889,42.925925925925924
1,0,1,1031.7777777777778,884.3809523809523,1068.626984126984,36.84920634920635
2,0,2,1353.551724137931,477.7241379310345,1035.0689655172414,0.0
3,0,3,1486.607142857143,412.94642857142856,991.0714285714286,1156.25
4,0,4,809.8252427184466,809.8252427184466,989.7864077669902,0.0
5,1,0,1205.2734375,1205.2734375,438.28125,730.46875
6,1,1,801.5192307692307,1469.451923076923,712.4615384615385,1291.3365384615386
7,1,2,1469.733870967742,1582.7903225806451,565.2822580645161,602.9677419354839
8,1,3,2277.767441860465,1193.1162790697674,325.3953488372093,578.4806201550388
9,1,4,2225.546875,1094.53125,218.90625,729.6875
10,2,0,0.0,1383.6124031007753,0.0,728.2170542635658
11,2,1,0.0,0.0,432.83076923076925,2272.3615384615387
12,2,2,0.0,0.0,1501.1803278688526,1347.2131147540983
13,2,3,0.0,254.44186046511626,1126.8139534883721,1417.6046511627906
14,2,4,334.35714285714283,66.87142857142857,1036.5071428571428,1237.1214285714286
15,3,0,1512.0,302.4,1209.6,777.6
16,3,1,1147.990909090909,2040.8727272727272,552.7363636363636,340.1454545454545
17,3,2,2594.727272727273,232.36363636363637,619.6363636363636,542.1818181818182
18,3,3,637.5384615384615,1673.5384615384614,597.6923076923076,836.7692307692307
19,3,4,941.6470588235294,784.7058823529412,1177.0588235294117,1608.6470588235295
20,4,0,1884.992125984252,0.0,850.0944881889765,0.0
21,4,1,1683.671875,0.0,0.0,0.0
22,4,2,1502.90625,659.8125,1722.84375,0.0
23,4,3,651.4883720930233,144.7751937984496,615.2945736434109,1013.4263565891473
24,4,4,1250.788732394366,394.98591549295776,822.887323943662,197.49295774647888
25,5,0,1358.7850467289718,745.1401869158879,1665.6074766355139,131.49532710280374
26,5,1,434.9074074074074,1174.25,304.43518518518516,1957.0833333333335
27,5,2,0.0,600.6666666666666,491.45454545454544,273.03030303030306
28,5,3,486.82399999999996,411.928,823.856,1610.264
29,5,4,1642.9411764705883,775.8333333333333,319.4607843137255,45.63725490196078
30,6,0,700.1574803149607,773.8582677165355,589.6062992125984,1179.2125984251968
31,6,1,1459.375,1313.4375,437.8125,437.8125
32,6,2,833.5271317829458,1775.7751937984497,181.2015503875969,616.0852713178296
33,6,3,1939.8705035971225,635.4748201438849,367.90647482014384,1137.1654676258993
34,6,4,1039.0923076923077,1039.0923076923077,824.1076923076923,967.4307692307693
35,7,0,862.0247933884298,1424.2148760330579,899.504132231405,599.6694214876034
36,7,1,1602.21875,1165.25,691.8671875,983.1796875
37,7,2,858.0882352941177,1235.6470588235295,1338.6176470588234,823.764705882353
38,7,3,2184.8264462809916,1619.7851239669421,37.66942148760331,339.02479338842977
39,7,4,1403.5934959349595,1669.138211382114,493.1544715447155,493.1544715447155
