ts,x,y
8022,7,539
8045,10,541
8058,12,535
8076,12,531
8103,12,523
8120,13,508
8139,17,503
8160,22,499
8185,22,481
8197,24,477
8220,22,480
8241,13,471
8258,6,463
8282,-1,455
8297,-12,456
8315,-13,463
8335,-7,472
8360,-8,474
8377,-8,479
8403,-10,478
8418,-19,476
8438,-11,484
8460,-3,486
8483,-1,487
8503,-4,484
8521,-6,485
8544,-6,489
8558,-5,490
8579,-7,486
8605,-12,474
8620,-12,472
8641,-11,485
8656,-14,481
8683,-17,465
8698,-16,465
8721,-9,472
8743,-5,472
8763,-3,464
8775,1,460
8801,-3,452
8823,-4,453
8836,-8,459
8862,-11,457
8881,-12,458
8895,-18,467
8917,-19,467
8940,-16,464
8959,-13,466
8982,-13,474
8995,-15,471
9023,-24,462
9040,-25,465
9064,-23,473
9083,-22,479
9099,-26,475
9115,-30,479
9141,-31,481
9159,-29,480
9179,-23,475
9205,-24,470
9220,-24,466
9242,-22,474
9255,-22,476
9278,-23,474
9302,-22,473
9320,-18,486
9338,-14,494
9359,-13,500
9377,-10,501
9396,-8,499
9418,-5,497
9438,1,495
9462,0,491
9475,-5,484
9504,-12,481
9516,-15,484
9535,-17,487
9561,-18,488
9582,251,477
9598,535,464
9619,761,448
9638,853,431
9663,907,411
9683,930,396
9702,946,380
9722,956,380
9737,959,377
9757,959,377
9783,956,374
9798,957,372
9822,960,370
9835,960,370
9862,958,366
9876,956,367
9900,952,376
9925,950,377
9941,946,378
9959,946,380
9984,945,383
10002,941,378
10025,943,380
10045,943,384
10064,943,390
10080,947,390
10103,950,387
10116,953,386
10135,957,376
10155,958,372
10179,957,372
10197,956,365
10216,956,355
10238,956,359
10257,957,360
10284,957,357
10305,957,356
10325,957,357
10339,957,362
10361,957,361
10381,960,362
10398,959,364
10421,958,365
10438,956,367
10464,954,373
10478,952,372
10500,948,372
10525,947,371
10535,939,370
10560,943,367
10581,946,366
10599,950,362
10622,953,359
10639,959,361
10665,961,361
10685,963,365
10703,963,363
10719,961,358
10736,956,353
10755,952,353
10784,954,355
10805,958,357
