module,trial,item_num,timestamp,x,y
identification,0,0,0,1084.8,560.52
identification,0,0,0,1173.12,556.2
identification,0,0,40,1173.12,556.2
identification,0,0,74,1180.8,546.48
identification,0,0,124,1263.36,525.96
identification,0,0,157,1344.0,498.96
identification,0,0,191,1399.68,463.32
identification,0,0,224,1411.2,437.4
identification,0,0,258,1384.32,433.08
identification,0,0,325,1278.72,454.68
identification,0,0,358,1213.44,467.64
identification,0,0,409,1221.12,482.76
identification,0,0,441,1211.52,497.88
identification,0,0,474,1196.16,513.0
identification,0,0,524,1180.8,530.28
identification,0,0,591,1167.36,538.92
identification,0,0,625,1155.84,544.32
identification,0,0,659,1069.44,582.12
identification,0,0,725,1017.6,583.2
identification,0,0,758,1013.76,577.8000000000001
identification,0,0,808,1000.32,576.72
identification,0,0,841,992.64,574.5600000000001
identification,0,0,925,1036.8000000000002,590.76
identification,0,0,959,1063.68,599.4000000000001
identification,0,0,992,1094.4,615.5999999999999
identification,0,0,1026,1107.84,616.68
identification,0,0,1059,1109.76,619.92
identification,0,0,1092,1104.0,618.8399999999999
identification,0,0,1126,1096.32,609.1199999999999
identification,0,0,1175,1034.88,708.48
identification,0,0,1208,804.48,1077.84
identification,0,0,1242,798.7199999999999,1119.9599999999998
identification,0,0,1292,840.96,1125.36
identification,0,0,1326,833.28,1118.88
identification,0,0,1358,837.12,1078.92
identification,0,0,1393,856.32,1030.32
identification,0,0,1426,865.9200000000001,970.92
identification,0,0,1459,854.4,916.92
identification,0,0,1493,837.12,878.04
identification,0,0,1526,837.12,841.32
identification,0,0,1575,898.5600000000001,811.08
identification,0,0,1609,921.6,787.3199999999999
identification,0,0,1642,990.72,645.8399999999999
identification,0,0,1692,1031.04,638.28
identification,0,0,1725,1069.44,616.68
identification,0,0,1759,1096.32,608.04
identification,0,0,1792,1109.76,591.84
identification,0,0,1826,1209.6,541.08
identification,0,0,1859,1215.36,519.48
identification,0,0,1926,1190.4,504.36
identification,0,0,1975,1153.92,492.48
identification,0,0,2009,1121.28,482.76
identification,0,0,2059,1113.6,507.6
identification,0,0,2092,1104.0,504.36
identification,0,0,2126,1088.64,509.76
identification,0,0,2160,1082.88,509.76
identification,0,0,2193,1071.36,509.76
identification,0,0,2227,1054.0800000000002,509.76
identification,0,0,2260,1032.96,508.68
