module,trial,item_num,timestamp,x,y
identification,0,0,0,157.44,577.8000000000001
identification,0,0,0,144.0,592.9200000000001
identification,0,0,11,149.76,588.6
identification,0,0,44,220.8,569.1600000000001
identification,0,0,78,211.2,613.4399999999999
identification,0,0,111,216.96,624.24
identification,0,0,144,228.48,623.16
identification,0,0,178,240.0,616.68
identification,0,0,211,261.12,604.8000000000001
identification,0,0,260,305.28000000000003,606.96
identification,0,0,311,320.64000000000004,605.8800000000001
identification,0,0,344,349.44,594.0
identification,0,0,377,391.68,572.4
identification,0,0,411,374.4,582.12
identification,0,0,445,433.92,594.0
identification,0,0,478,437.76,599.4000000000001
identification,0,0,511,441.6,614.52
identification,0,0,545,908.16,696.6
identification,0,0,578,942.72,673.92
identification,0,0,612,948.48,662.04
identification,0,0,680,965.76,646.92
identification,0,0,711,973.44,618.8399999999999
identification,0,0,746,981.12,618.8399999999999
identification,0,0,780,983.04,614.52
identification,0,0,845,988.8,608.04
identification,0,0,879,983.04,608.04
identification,0,0,912,988.8,609.1199999999999
identification,0,0,946,931.2,603.72
identification,0,0,979,944.64,614.52
identification,0,0,1012,942.72,623.16
identification,0,0,1078,933.12,625.3199999999999
identification,0,0,1112,929.28,622.0799999999999
identification,0,0,1145,925.44,622.0799999999999
identification,0,0,1178,929.28,622.0799999999999
identification,0,0,1212,925.44,622.0799999999999
identification,0,0,1246,921.6,623.16
identification,0,0,1279,925.44,623.16
identification,0,0,1313,927.36,625.3199999999999
identification,0,0,1346,929.28,626.4
identification,0,0,1379,931.2,629.64
identification,0,0,1413,933.12,631.8
identification,0,0,1445,938.88,637.1999999999999
identification,0,0,1478,944.64,639.36
identification,0,0,1512,944.64,642.6
identification,0,0,1545,952.32,643.68
identification,0,0,1579,963.84,645.8399999999999
identification,0,0,1613,977.28,649.0799999999999
identification,0,0,1646,988.8,652.3199999999999
identification,0,0,1679,998.4,655.56
identification,0,0,1713,1006.08,658.8
identification,0,0,1746,1011.84,660.96
identification,0,0,1779,1015.68,665.28
identification,0,0,1846,1017.6,667.4399999999999
identification,0,0,1879,1017.6,670.68
identification,0,0,1912,1021.44,672.84
identification,0,0,1945,1023.36,673.92
identification,0,0,1979,1027.2,675.0
identification,0,0,2012,1032.96,677.16
identification,0,0,2046,1038.72,678.24
identification,0,0,2080,1044.48,679.32
identification,0,0,2113,1046.4,678.24
identification,0,0,2147,1046.4,677.16
identification,0,0,2180,1046.4,675.0
identification,0,0,2246,1046.4,673.92
identification,0,0,2279,1046.4,672.84
identification,0,0,2312,1046.4,670.68
identification,0,0,2346,1048.3200000000002,670.68
identification,0,0,2379,1050.24,670.68
identification,0,0,2414,1054.0800000000002,670.68
identification,0,0,2447,1056.0,670.68
identification,0,0,2480,1059.84,670.68
identification,0,0,2514,1061.76,670.68
identification,0,0,2547,1063.68,672.84
identification,0,0,2580,1065.6,672.84
identification,0,0,2612,1069.44,672.84
identification,0,0,2647,1073.2800000000002,673.92
identification,0,0,2680,1075.2,675.0
identification,0,0,2713,1079.0400000000002,675.0
identification,0,0,2747,1080.9599999999998,675.0
identification,0,0,2780,1082.88,676.08
identification,0,0,2814,1084.8,677.16
identification,0,0,2847,1086.7199999999998,677.16
identification,0,0,2882,1088.64,677.16
identification,0,0,2914,1088.64,676.08
identification,0,0,2947,1088.64,676.08
identification,0,0,3014,1084.8,677.16
identification,0,0,3047,1084.8,678.24
identification,0,0,3080,1084.8,678.24
identification,0,0,3114,1084.8,679.32
identification,0,0,3147,1082.88,679.32
identification,0,0,3181,1082.88,681.48
identification,0,0,3214,1080.9599999999998,683.64
identification,0,0,3247,1077.12,685.8
identification,0,0,3281,1073.2800000000002,687.96
identification,0,0,3314,1069.44,691.2
identification,0,0,3348,1065.6,694.44
identification,0,0,3416,1059.84,697.6800000000001
identification,0,0,3449,1056.0,698.76
identification,0,0,3480,1052.16,702.0
identification,0,0,3514,1044.48,709.5600000000001
identification,0,0,3547,1032.96,717.12
identification,0,0,3581,1029.12,722.5200000000001
identification,0,0,3614,1027.2,727.9200000000001
identification,0,0,3648,1023.36,734.4000000000001
identification,0,0,3681,1019.52,740.8800000000001
identification,0,0,3715,1015.68,746.28
identification,0,0,3748,1013.76,750.5999999999999
identification,0,0,3780,1011.84,754.92
identification,0,0,3814,1008.0,757.0799999999999
identification,0,0,3848,1009.92,761.4
identification,0,0,3881,1009.92,761.4
identification,0,0,3914,1009.92,765.7199999999999
identification,0,0,4181,1006.08,773.28
identification,0,0,4215,1006.08,774.36
identification,0,0,4248,1006.08,788.4
identification,0,0,4282,1004.16,785.16
identification,0,0,4315,1006.08,786.24
identification,0,0,4348,1006.08,787.3199999999999
identification,0,0,4383,1006.08,789.48
identification,0,0,4416,1009.92,789.48
identification,0,0,4449,1021.44,789.48
identification,0,0,4482,1034.88,787.3199999999999
identification,0,0,4515,1050.24,783.0
identification,0,0,4582,1065.6,779.76
identification,0,0,4615,1075.2,777.6
identification,0,0,4648,1080.9599999999998,775.4399999999999
identification,0,0,4682,1086.7199999999998,773.28
identification,1,1,0,1063.68,800.28
identification,1,1,0,1063.68,801.36
identification,1,1,13,1059.84,802.4399999999999
identification,1,1,47,1056.0,805.68
identification,1,1,80,1052.16,806.76
identification,1,1,114,1050.24,805.68
identification,1,1,147,1042.5600000000002,808.92
identification,1,1,180,1036.8000000000002,813.24
identification,1,1,214,1031.04,816.48
identification,1,1,248,1027.2,817.5600000000001
identification,1,1,280,1017.6,818.64
identification,1,1,348,1015.68,818.64
identification,1,1,380,1013.76,820.8
identification,1,1,413,1013.76,821.88
identification,1,1,447,1013.76,825.12
identification,1,1,480,1009.92,826.2
identification,1,1,514,773.76,795.96
identification,1,1,547,743.04,788.4
identification,1,1,581,727.6800000000001,785.16
identification,1,1,615,716.16,785.16
identification,1,1,681,712.3199999999999,785.16
identification,1,1,748,710.4,785.16
identification,1,1,781,704.64,785.16
identification,1,1,814,700.8,785.16
identification,1,1,847,687.36,787.3199999999999
identification,1,1,881,662.4,789.48
identification,1,1,915,648.96,791.64
identification,1,1,948,641.2800000000001,792.72
identification,1,1,982,637.44,794.88
identification,1,1,1015,629.76,795.96
identification,1,1,1049,629.76,793.8
identification,1,1,1114,689.28,784.0799999999999
identification,1,1,1147,896.6400000000001,751.68
identification,1,1,1181,917.76,751.68
identification,1,1,1215,910.08,756.0
identification,1,1,1248,904.32,760.3199999999999
identification,1,1,1281,908.16,758.16
identification,1,1,1315,898.5600000000001,760.3199999999999
identification,1,1,1349,977.28,759.24
identification,1,1,1382,1359.36,743.04
identification,1,1,1415,1390.08,747.3599999999999
identification,1,1,1449,1399.68,758.16
identification,1,1,1482,1407.36,760.3199999999999
identification,1,1,1514,1415.04,754.92
identification,1,1,1548,1418.88,749.52
identification,1,1,1581,1424.64,753.8399999999999
identification,1,1,1615,1436.16,761.4
identification,1,1,1648,1405.44,767.88
identification,1,1,1682,958.08,654.48
identification,1,1,1716,1176.96,784.0799999999999
identification,1,1,1749,1111.6799999999998,743.04
identification,1,1,1782,1453.44,812.16
identification,1,1,1816,1443.84,816.48
identification,1,1,1850,1422.72,799.2
identification,1,1,1916,1217.28,764.64
identification,1,1,1948,1190.4,761.4
identification,1,1,1982,1175.04,759.24
identification,1,1,2016,1150.08,762.4799999999999
identification,1,1,2049,1123.1999999999998,757.0799999999999
identification,1,1,2082,998.4,677.16
identification,1,1,2116,923.52,626.4
identification,1,1,2150,929.28,623.16
identification,1,1,2183,913.92,609.1199999999999
identification,1,1,2216,898.5600000000001,601.5600000000001
identification,1,1,2250,888.96,594.0
identification,1,1,2282,862.08,570.24
identification,1,1,2315,856.32,562.6800000000001
identification,1,1,2349,869.76,551.88
identification,1,1,2382,879.36,547.5600000000001
identification,1,1,2416,883.2,542.16
identification,1,1,2449,879.36,535.68
identification,1,1,2483,831.36,519.48
identification,1,1,2517,670.0799999999999,486.0
identification,1,1,2550,639.36,492.48
identification,1,1,2584,650.88,482.76
identification,1,1,2617,658.5600000000001,482.76
identification,1,1,2684,650.88,484.92
identification,1,1,2716,643.2,484.92
identification,1,1,2750,639.36,479.52
identification,1,1,2783,637.44,480.6
identification,1,1,2817,635.52,487.08
identification,1,1,2851,696.96,529.2
identification,1,1,2884,856.32,650.16
identification,1,1,2917,865.9200000000001,653.4
identification,1,1,2951,869.76,654.48
identification,1,1,2984,865.9200000000001,652.3199999999999
identification,1,1,3017,867.84,652.3199999999999
identification,1,1,3050,881.2800000000001,653.4
identification,1,1,3083,896.6400000000001,656.64
identification,1,1,3118,900.4799999999999,659.88
identification,1,1,3150,906.24,663.12
identification,1,1,3184,919.68,667.4399999999999
identification,1,1,3217,925.44,673.92
identification,1,1,3250,933.12,676.08
identification,1,1,3284,936.96,678.24
identification,1,1,3319,938.88,680.4
identification,1,1,3351,944.64,683.64
identification,1,1,3384,954.24,686.88
identification,1,1,3417,967.68,687.96
identification,1,1,3450,983.04,692.28
identification,1,1,3483,998.4,695.52
identification,1,1,3517,1008.0,696.6
identification,1,1,3551,1021.44,698.76
identification,1,1,3584,1031.04,700.9200000000001
identification,1,1,3617,1042.5600000000002,704.1600000000001
identification,1,1,3651,1054.0800000000002,706.32
identification,1,1,3684,1075.2,706.32
identification,1,1,3718,1128.96,707.4
identification,1,1,3751,1148.16,717.12
identification,1,1,3785,1138.56,712.8000000000001
identification,1,1,3819,1138.56,712.8000000000001
identification,1,1,3850,1140.48,712.8000000000001
identification,1,1,3884,1455.36,740.8800000000001
identification,1,1,3917,1474.56,731.1600000000001
identification,1,1,3951,1470.72,725.76
identification,1,1,3984,1461.12,717.12
identification,1,1,4018,1461.12,713.88
identification,1,1,4052,1459.2,712.8000000000001
identification,1,1,4085,1457.28,714.96
identification,1,1,4118,1459.2,716.0400000000001
identification,1,1,4152,1405.44,718.2
identification,1,1,4185,1240.32,725.76
identification,1,1,4217,1211.52,724.6800000000001
identification,1,1,4251,1194.24,725.76
identification,1,1,4286,1190.4,724.6800000000001
identification,1,1,4318,1190.4,723.6
identification,1,1,4352,1190.4,722.5200000000001
identification,1,1,4385,1115.52,726.84
identification,1,1,4419,981.12,744.1199999999999
identification,1,1,4452,967.68,752.76
identification,1,1,4486,958.08,756.0
identification,1,1,4519,950.4,759.24
identification,1,1,4552,946.56,760.3199999999999
identification,1,1,4586,944.64,761.4
identification,1,1,4618,942.72,761.4
identification,1,1,4651,942.72,761.4
identification,1,1,4685,942.72,761.4
identification,2,2,0,961.92,753.8399999999999
identification,2,2,0,973.44,753.8399999999999
identification,2,2,17,988.8,752.76
identification,2,2,50,1002.24,753.8399999999999
identification,2,2,84,1011.84,751.68
identification,2,2,117,1021.44,750.5999999999999
identification,2,2,150,1027.2,750.5999999999999
identification,2,2,183,1034.88,751.68
identification,2,2,218,1042.5600000000002,753.8399999999999
identification,2,2,250,1048.3200000000002,754.92
identification,2,2,284,1057.92,757.0799999999999
identification,2,2,318,1067.52,759.24
identification,2,2,352,1075.2,760.3199999999999
identification,2,2,384,1073.2800000000002,739.8000000000001
identification,2,2,417,1077.12,734.4000000000001
identification,2,2,450,1077.12,730.08
identification,2,2,484,1065.6,761.4
identification,2,2,517,577.92,422.28
identification,2,2,551,382.08,124.2
identification,2,2,584,506.88,417.96
identification,2,2,618,817.92,791.64
identification,2,2,651,1038.72,955.8
identification,2,2,686,1044.48,921.24
identification,2,2,718,1034.88,889.92
identification,2,2,751,1038.72,849.96
identification,2,2,784,1038.72,810.0
identification,2,2,818,1042.5600000000002,797.04
identification,2,2,851,1023.36,875.8800000000001
identification,2,2,884,543.3599999999999,415.8
identification,2,2,917,518.4000000000001,392.04
identification,2,2,951,704.64,608.04
identification,2,2,985,992.64,881.28
identification,2,2,1018,960.0,924.48
identification,2,2,1052,967.68,887.76
identification,2,2,1085,1000.32,856.44
identification,2,2,1119,1008.0,837.0
identification,2,2,1152,1013.76,822.96
identification,2,2,1184,1015.68,808.92
identification,2,2,1218,1009.92,795.96
identification,2,2,1251,1009.92,788.4
identification,2,2,1284,996.48,779.76
identification,2,2,1318,1000.32,776.52
identification,2,2,1351,1002.24,770.04
identification,2,2,1385,1006.08,764.64
identification,2,2,1418,1019.52,763.56
identification,2,2,1452,1038.72,772.1999999999999
identification,2,2,1486,1050.24,759.24
identification,2,2,1518,1059.84,749.52
identification,2,2,1551,1050.24,744.1199999999999
identification,2,2,1585,1038.72,739.8000000000001
identification,2,2,1620,1038.72,733.32
identification,2,2,1685,1036.8000000000002,725.76
identification,2,2,1719,1031.04,720.36
identification,2,2,1752,1031.04,717.12
identification,2,2,1785,1027.2,716.0400000000001
identification,2,2,1819,1031.04,716.0400000000001
identification,2,2,1852,1036.8000000000002,712.8000000000001
identification,2,2,1887,1038.72,712.8000000000001
identification,2,2,1919,1034.88,712.8000000000001
identification,2,2,1953,1042.5600000000002,710.64
identification,2,2,1985,1042.5600000000002,706.32
identification,2,2,2021,1044.48,702.0
identification,2,2,2052,1046.4,698.76
identification,2,2,2085,1046.4,694.44
identification,2,2,2119,1044.48,691.2
identification,2,2,2152,1046.4,686.88
identification,2,2,2186,1044.48,681.48
identification,2,2,2219,1061.76,670.68
identification,2,2,2253,1065.6,663.12
identification,2,2,2286,1073.2800000000002,658.8
identification,2,2,2320,1080.9599999999998,652.3199999999999
identification,2,2,2352,1077.12,648.0
identification,2,2,2385,1077.12,645.8399999999999
identification,2,2,2421,1080.9599999999998,643.68
identification,2,2,2453,1082.88,640.4399999999999
identification,2,2,2486,1069.44,631.8
identification,2,2,2519,1063.68,626.4
identification,2,2,2553,1057.92,623.16
