,pid,module,trial,total_fixation,face11_fixation,face12_fixation,face21_fixation,face22_fixation,total_fixation_under1000,face11_fixation_under1000,face12_fixation_under1000,face21_fixation_under1000,face22_fixation_under1000,abs_dwell_time_face11,abs_dwell_time_face12,abs_dwell_time_face21,abs_dwell_time_face22
0,00000000,faces,0,14,4,3,3,0,1,0,0,0,0,1159.0,729.7407407407408,643.8888888888889,42.925925925925924
1,00000000,faces,1,9,4,0,4,0,1,0,0,0,0,1405.5254237288136,0.0,2420.627118644068,39.04237288135593
2,00000000,faces,2,11,4,2,2,0,3,0,0,1,0,1031.7777777777778,884.3809523809523,1068.626984126984,36.84920634920635
3,00000000,faces,3,16,2,2,4,0,2,0,0,1,0,739.4033613445378,311.327731092437,933.983193277311,194.57983193277312
4,00000000,faces,4,15,4,1,4,0,5,1,0,2,0,1353.551724137931,477.7241379310345,1035.0689655172414,0.0
5,00000000,faces,5,13,4,0,1,0,4,1,0,0,0,1494.4036697247707,170.78899082568807,853.9449541284404,170.78899082568807
6,00000000,faces,6,14,4,2,3,4,2,1,0,0,0,1486.607142857143,412.94642857142856,991.0714285714286,1156.25
7,00000000,faces,7,13,5,3,1,0,4,3,0,0,0,1281.2410714285716,1033.2589285714287,702.6160714285713,41.33035714285714
8,00000000,faces,8,8,1,1,3,0,2,1,0,1,0,809.8252427184466,809.8252427184466,989.7864077669902,0.0
9,00000000,faces,9,14,2,0,4,0,4,1,0,0,0,1097.7560975609756,75.70731707317074,1287.0243902439024,264.9756097560975
10,00000000,faces,10,14,4,3,3,0,1,0,0,0,0,1159.0,729.7407407407408,643.8888888888889,42.925925925925924
11,00000000,faces,11,9,4,0,4,0,1,0,0,0,0,1405.5254237288136,0.0,2420.627118644068,39.04237288135593
12,00000000,faces,12,11,4,2,2,0,3,0,0,1,0,1031.7777777777778,884.3809523809523,1068.626984126984,36.84920634920635
13,00000000,faces,13,16,2,2,4,0,2,0,0,1,0,739.4033613445378,311.327731092437,933.983193277311,194.57983193277312
14,00000000,faces,14,15,4,1,4,0,5,1,0,2,0,1353.551724137931,477.7241379310345,1035.0689655172414,0.0
15,00000000,faces,15,13,4,0,1,0,4,1,0,0,0,1494.4036697247707,170.78899082568807,853.9449541284404,170.78899082568807
16,00000000,faces,16,14,4,2,3,4,2,1,0,0,0,1486.607142857143,412.94642857142856,991.0714285714286,1156.25
17,00000000,faces,17,13,5,3,1,0,4,3,0,0,0,1281.2410714285716,1033.2589285714287,702.6160714285713,41.33035714285714
18,00000000,faces,18,8,1,1,3,0,2,1,0,1,0,809.8252427184466,809.8252427184466,989.7864077669902,0.0
19,00000000,faces,19,14,2,0,4,0,4,1,0,0,0,1097.7560975609756,75.70731707317074,1287.0243902439024,264.9756097560975
