,pid,module,trial,total_fixation,face11_fixation,face12_fixation,face21_fixation,face22_fixation,total_fixation_under1000,face11_fixation_under1000,face12_fixation_under1000,face21_fixation_under1000,face22_fixation_under1000,abs_dwell_time_face11,abs_dwell_time_face12,abs_dwell_time_face21,abs_dwell_time_face22
0,00000002,faces,0,0,0,0,0,0,0,0,0,0,0,386.3333333333333,343.4074074074074,128.77777777777777,128.77777777777777
1,00000002,faces,1,2,0,1,0,1,1,0,0,0,1,273.29661016949154,507.5508474576271,273.29661016949154,156.16949152542372
2,00000002,faces,2,1,0,0,1,0,0,0,0,0,0,147.3968253968254,221.09523809523807,184.24603174603175,331.6428571428571
3,00000002,faces,3,0,0,0,0,0,0,0,0,0,0,194.57983193277312,272.4117647058824,233.49579831932775,622.655462184874
4,00000002,faces,4,1,1,0,0,0,0,0,0,0,0,358.2931034482759,318.48275862068965,437.91379310344826,358.2931034482759
5,00000002,faces,5,0,0,0,0,0,0,0,0,0,0,298.88073394495416,298.88073394495416,213.4862385321101,213.4862385321101
6,00000002,faces,6,1,0,0,0,0,1,0,0,0,0,82.58928571428571,454.24107142857144,330.35714285714283,206.47321428571428
7,00000002,faces,7,0,0,0,0,0,0,0,0,0,0,123.99107142857142,495.96428571428567,537.2946428571429,206.65178571428572
8,00000002,faces,8,1,0,0,0,0,0,0,0,0,0,134.97087378640776,314.93203883495147,44.99029126213592,179.96116504854368
9,00000002,faces,9,0,0,0,0,0,0,0,0,0,0,189.2682926829268,151.41463414634148,264.9756097560975,492.0975609756098
10,00000002,faces,10,0,0,0,0,0,0,0,0,0,0,128.77777777777777,343.4074074074074,429.25925925925924,386.3333333333333
11,00000002,faces,11,2,0,0,0,0,0,0,0,0,0,351.3813559322034,234.2542372881356,234.2542372881356,351.3813559322034
12,00000002,faces,12,0,0,0,0,0,0,0,0,0,0,257.94444444444446,405.3412698412698,221.09523809523807,442.19047619047615
13,00000002,faces,13,0,0,0,0,0,0,0,0,0,0,350.2436974789916,272.4117647058824,350.2436974789916,350.2436974789916
14,00000002,faces,14,0,0,0,0,0,0,0,0,0,0,159.24137931034483,318.48275862068965,159.24137931034483,398.1034482758621
15,00000002,faces,15,0,0,0,0,0,0,0,0,0,0,256.1834862385321,128.09174311926606,256.1834862385321,384.2752293577982
16,00000002,faces,16,0,0,0,0,0,0,0,0,0,0,330.35714285714283,206.47321428571428,371.6517857142857,206.47321428571428
17,00000002,faces,17,0,0,0,0,0,0,0,0,0,0,289.3125,206.65178571428572,165.32142857142856,206.65178571428572
18,00000002,faces,18,1,0,0,0,0,0,0,0,0,0,224.95145631067962,224.95145631067962,179.96116504854368,449.90291262135923
19,00000002,faces,19,0,0,0,0,0,0,0,0,0,0,189.2682926829268,264.9756097560975,416.390243902439,454.2439024390244
20,00000002,faces,20,1,0,0,1,0,0,0,0,0,0,257.55555555555554,171.7037037037037,257.55555555555554,343.4074074074074
21,00000002,faces,21,0,0,0,0,0,0,0,0,0,0,234.2542372881356,195.21186440677965,507.5508474576271,312.33898305084745
22,00000002,faces,22,1,0,0,0,0,0,0,0,0,0,257.94444444444446,257.94444444444446,405.3412698412698,294.7936507936508
23,00000002,faces,23,0,0,0,0,0,0,0,0,0,0,155.6638655462185,233.49579831932775,77.83193277310924,233.49579831932775
24,00000002,faces,24,0,0,0,0,0,0,0,0,0,0,238.86206896551724,318.48275862068965,159.24137931034483,278.6724137931035
25,00000002,faces,25,0,0,0,0,0,0,0,0,0,0,256.1834862385321,213.4862385321101,384.2752293577982,256.1834862385321
26,00000002,faces,26,1,1,0,0,0,1,1,0,0,0,123.88392857142857,247.76785714285714,330.35714285714283,536.8303571428571
27,00000002,faces,27,0,0,0,0,0,0,0,0,0,0,454.63392857142856,247.98214285714283,247.98214285714283,165.32142857142856
28,00000002,faces,28,2,0,0,1,0,0,0,0,0,0,224.95145631067962,179.96116504854368,269.94174757281553,314.93203883495147
29,00000002,faces,29,2,1,1,0,0,1,0,1,0,0,340.6829268292683,416.390243902439,302.82926829268297,302.82926829268297
30,00000002,faces,30,0,0,0,0,0,0,0,0,0,0,343.4074074074074,515.1111111111111,257.55555555555554,128.77777777777777
31,00000002,faces,31,0,0,0,0,0,0,0,0,0,0,234.2542372881356,273.29661016949154,234.2542372881356,195.21186440677965
32,00000002,faces,32,0,0,0,0,0,0,0,0,0,0,368.4920634920635,147.3968253968254,184.24603174603175,368.4920634920635
33,00000002,faces,33,0,0,0,0,0,0,0,0,0,0,272.4117647058824,116.74789915966387,194.57983193277312,389.15966386554624
34,00000002,faces,34,1,0,0,0,0,0,0,0,0,0,79.62068965517241,238.86206896551724,437.91379310344826,278.6724137931035
35,00000002,faces,35,0,0,0,0,0,0,0,0,0,0,384.2752293577982,298.88073394495416,298.88073394495416,298.88073394495416
36,00000002,faces,36,2,0,1,0,0,0,0,0,0,0,165.17857142857142,454.24107142857144,330.35714285714283,371.6517857142857
37,00000002,faces,37,0,0,0,0,0,0,0,0,0,0,206.65178571428572,247.98214285714283,537.2946428571429,247.98214285714283
38,00000002,faces,38,0,0,0,0,0,0,0,0,0,0,269.94174757281553,449.90291262135923,224.95145631067962,224.95145631067962
39,00000002,faces,39,0,0,0,0,0,0,0,0,0,0,227.1219512195122,189.2682926829268,340.6829268292683,378.5365853658536
40,00000002,faces,40,0,0,0,0,0,0,0,0,0,0,472.18518518518516,42.925925925925924,128.77777777777777,257.55555555555554
41,00000002,faces,41,1,0,0,0,0,0,0,0,0,0,351.3813559322034,156.16949152542372,312.33898305084745,234.2542372881356
42,00000002,faces,42,0,0,0,0,0,0,0,0,0,0,184.24603174603175,294.7936507936508,294.7936507936508,257.94444444444446
43,00000002,faces,43,1,0,0,0,0,1,0,0,0,0,77.83193277310924,233.49579831932775,155.6638655462185,233.49579831932775
44,00000002,faces,44,1,0,0,1,0,1,0,0,1,0,238.86206896551724,238.86206896551724,278.6724137931035,398.1034482758621
45,00000002,faces,45,0,0,0,0,0,0,0,0,0,0,384.2752293577982,256.1834862385321,298.88073394495416,469.66972477064223
46,00000002,faces,46,1,0,0,0,0,1,1,0,0,0,412.94642857142856,165.17857142857142,247.76785714285714,330.35714285714283
47,00000002,faces,47,3,0,1,0,2,0,0,0,0,0,206.65178571428572,289.3125,247.98214285714283,413.30357142857144
48,00000002,faces,48,0,0,0,0,0,0,0,0,0,0,359.92233009708735,449.90291262135923,314.93203883495147,269.94174757281553
